"","Record.ID","Data.Resource.ID","Data.Resource.Name","Institution.ID","Institution","Collection.ID","Collection","Licence","Catalogue.Number","Taxon.Concept.GUID","Scientific.Name...original","Vernacular.name...original","Scientific.Name","Taxon.Rank","Vernacular.name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Institution.Code","Collection.Code","Locality","Latitude...original","Longitude...original","Geodetic.datum...original","Latitude","Longitude","Geodetic.datum","Coordinate.Precision","Coordinate.Uncertainty.in.Metres","Country...parsed","State...parsed","Local.Government.Areas.2011","IMCRA.4.Regions","IBRA.7.Regions","Minimum.elevation.in.meters","Maximum.elevation.in.meters","Minimum.depth.in.meters","Maximum.depth.in.meters","Individual.count","Collector","Year","Month","Day","Verbatim.event.date","Basis.Of.Record","Basis.Of.Record...original","Occurrence.status","Sex","Preparations","Outlier.for.layer","Taxonomic.Quality","Location.Quality","plane_storage"
"1","ebdc4e64-79d2-4a7f-88b7-b409fcf0f165","dr8128","Australian Platypus Conservancy","","","","","CC-BY 4.0 (Int)","6-4034","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","Ornithorhynchus anatinus","Platypus","Ornithorhynchus anatinus","species","Platypus","Animalia","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",NA,"","","Elmore",-36.4418,144.6651,"",-36.4418,144.6651,"EPSG:4326",NA,200,"Australia","Victoria","Greater Bendigo (C)",NA,"Riverina",NA,NA,NA,NA,1,"Aust Platypus Conservancy",2002,2,24,"","HumanObservation","Observation","present","","",NA,"true","true","Bendigo"
"2","bbcc2818-8b46-4aa8-a916-5899f2d1c688","dr8128","Australian Platypus Conservancy","","","","","CC-BY 4.0 (Int)","7-5052","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","Ornithorhynchus anatinus","Platypus","Ornithorhynchus anatinus","species","Platypus","Animalia","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",NA,"","","Serpentine",-36.4265,143.9553,"",-36.4265,143.9553,"EPSG:4326",NA,200,"Australia","Victoria","Loddon (S)",NA,"Riverina",NA,NA,NA,NA,1,"Aust Platypus Conservancy",2016,2,29,"","HumanObservation","Observation","present","","",NA,"true","true","Bendigo"
"3","b3989318-eeed-4e93-8289-cf18a4cfaf5f","dr8128","Australian Platypus Conservancy","","","","","CC-BY 4.0 (Int)","6-4015","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","Ornithorhynchus anatinus","Platypus","Ornithorhynchus anatinus","species","Platypus","Animalia","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",NA,"","","Axedale",-36.8161,144.5191,"",-36.8161,144.5191,"EPSG:4326",NA,200,"Australia","Victoria","Greater Bendigo (C)",NA,"Victorian Midlands",NA,NA,NA,NA,4,"Aust Platypus Conservancy",2003,2,12,"","HumanObservation","Observation","present","","",NA,"true","true","Bendigo"
"4","aac51ea1-cf1d-4b67-a741-78e39682d632","dr8128","Australian Platypus Conservancy","","","","","CC-BY 4.0 (Int)","6-4013","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","Ornithorhynchus anatinus","Platypus","Ornithorhynchus anatinus","species","Platypus","Animalia","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",NA,"","","Goornong",-36.6538,144.5473,"",-36.6538,144.5473,"EPSG:4326",NA,200,"Australia","Victoria","Campaspe (S)",NA,"Riverina",NA,NA,NA,NA,3,"Aust Platypus Conservancy",2003,2,25,"","HumanObservation","Observation","present","","",NA,"true","true","Bendigo"
"5","8e0a3c7c-54ed-411e-bab5-4cdbf1009189","dr8128","Australian Platypus Conservancy","","","","","CC-BY 4.0 (Int)","7-1023","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","Ornithorhynchus anatinus","Platypus","Ornithorhynchus anatinus","species","Platypus","Animalia","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",NA,"","","Baringhup",-36.9753,143.9549,"",-36.9753,143.9549,"EPSG:4326",NA,200,"Australia","Victoria","Mount Alexander (S)",NA,"Southern Volcanic Plain",NA,NA,NA,NA,1,"Aust Platypus Conservancy",2015,2,2,"","HumanObservation","Observation","present","","",NA,"true","true","Bendigo"
"6","8add1866-85e8-4e46-85ae-f6a359e68d77","dr8128","Australian Platypus Conservancy","","","","","CC-BY 4.0 (Int)","7-1006","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","Ornithorhynchus anatinus","Platypus","Ornithorhynchus anatinus","species","Platypus","Animalia","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",NA,"","","Baringhup",-36.9394,143.9053,"",-36.9394,143.9053,"EPSG:4326",NA,200,"Australia","Victoria","Mount Alexander (S)",NA,"Victorian Midlands",NA,NA,NA,NA,1,"Aust Platypus Conservancy",2003,2,26,"","HumanObservation","Observation","present","","",NA,"true","true","Bendigo"
"7","457300c1-8dc8-459b-849b-147f73260e58","dr8128","Australian Platypus Conservancy","","","","","CC-BY 4.0 (Int)","7-2028","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","Ornithorhynchus anatinus","Platypus","Ornithorhynchus anatinus","species","Platypus","Animalia","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",NA,"","","Harcourt",-36.9891,144.2635,"",-36.9891,144.2635,"EPSG:4326",NA,200,"Australia","Victoria","Mount Alexander (S)",NA,"Victorian Midlands",NA,NA,NA,NA,1,"Aust Platypus Conservancy",2005,2,5,"","HumanObservation","Observation","present","","",NA,"true","true","Bendigo"
"8","42abf4c3-fcc5-42ef-84dd-bf129714b837","dr8128","Australian Platypus Conservancy","","","","","CC-BY 4.0 (Int)","7-5017","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","Ornithorhynchus anatinus","Platypus","Ornithorhynchus anatinus","species","Platypus","Animalia","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",NA,"","","Bridgewater",-36.5822,143.9428,"",-36.5822,143.9428,"EPSG:4326",NA,200,"Australia","Victoria","Loddon (S)",NA,"Riverina",NA,NA,NA,NA,1,"Aust Platypus Conservancy",2004,2,27,"","HumanObservation","Observation","present","","",NA,"true","true","Bendigo"
"9","27127524-2eaa-4c94-ac91-2b5ca0754d11","dr8128","Australian Platypus Conservancy","","","","","CC-BY 4.0 (Int)","7-5007","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","Ornithorhynchus anatinus","Platypus","Ornithorhynchus anatinus","species","Platypus","Animalia","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",NA,"","","Salisbury West",-36.5143,143.9748,"",-36.5143,143.9748,"EPSG:4326",NA,200,"Australia","Victoria","Loddon (S)",NA,"Riverina",NA,NA,NA,NA,1,"Aust Platypus Conservancy",2003,2,17,"","HumanObservation","Observation","present","","",NA,"true","true","Bendigo"
"10","071322a3-5cbc-4806-a430-e172bee0a957","dr8128","Australian Platypus Conservancy","","","","","CC-BY 4.0 (Int)","6-4014","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","Ornithorhynchus anatinus","Platypus","Ornithorhynchus anatinus","species","Platypus","Animalia","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",NA,"","","Goornong",-36.6222,144.5614,"",-36.6222,144.5614,"EPSG:4326",NA,200,"Australia","Victoria","Greater Bendigo (C)",NA,"Riverina",NA,NA,NA,NA,2,"Aust Platypus Conservancy",2003,2,25,"","HumanObservation","Observation","present","","",NA,"true","true","Bendigo"
